"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Tayana Software Solutions Pvt","7372","2017-11-15","","Dvlp software","India","TAYANA SOFTWARE SOLUTIONS PVT/BEYOND SOFTWARE-STRATEGIC ALLIANCE","8742","India~United States","Completed/Signed","Strategic Alliance",NA,3370334045,"India","Asia"
"Beyond Software","3571","2017-11-15","","Dvlps mainframes for WWW","United States","TAYANA SOFTWARE SOLUTIONS PVT/BEYOND SOFTWARE-STRATEGIC ALLIANCE","8742","India~United States","Completed/Signed","Strategic Alliance",NA,3370334045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2017-11-20","","Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/ADVANCED MICRO DEVICES INC-STRATEGIC~ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3371087045,"United States","Americas"
"Advanced Micro Devices Inc","3674","2017-11-20","","Semiconductor and Related Device Manufacturing","United States","HEWLETT PACKARD ENTERPRISE CO/ADVANCED MICRO DEVICES INC-STRATEGIC~ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3371087045,"United States","Americas"
"Infosys Ltd","7371","2017-11-27","","Provides information technology and consulting services","India","INFOSYS LTD/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3187207045,"India","Asia"
"Hewlett Packard Enterprise Co","3571","2017-11-27","","Manufactures electronic computers","United States","INFOSYS LTD/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3187207045,"United States","Americas"
"ABB Ltd","3613","2017-11-28","","Manufacture,wholesale electronic equipment","Switzerland","ABB LTD/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7374","Supranational","Completed/Signed","Strategic Alliance",NA,3187371045,"Switzerland","Europe"
"Hewlett Packard Enterprise Co","3571","2017-11-28","","Manufactures electronic computers","United States","ABB LTD/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7374","Supranational","Completed/Signed","Strategic Alliance",NA,3187371045,"United States","Americas"
"Promise Technology Inc","3577","2017-11-29","","Manufacture,wholesale disk","Taiwan","PROMISE TECHNOLOGY INC/STONEFLY INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3195229045,"Taiwan","Asia"
"StoneFly Inc","3571","2017-11-29","","Mnfr storage concentrators","United States","PROMISE TECHNOLOGY INC/STONEFLY INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3195229045,"United States","Americas"
"Apple Inc","3571","2017-11-30","","Electronic Computer Manufacturing","United States","APPLE INC/BIOTELEMETRY INC-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3193126045,"United States","Americas"
"BioTelemetry Inc","3841","2017-11-30","","Manufactures monitoring devices","United States","APPLE INC/BIOTELEMETRY INC-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3193126045,"United States","Americas"
"Logicom Info Tech Distn SRL","5045","2018-01-04","","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","Romania","LOGICOM INFORMATION TECHNOLOGY DISTRIBUTION SRL/DELL INC-STRATEGIC~ALLIANCE","5099","Romania","Completed/Signed","Strategic Alliance",NA,3210064045,"Romania","Europe"
